"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3367655,"December 2, 2025",Florida,"Miami (Palmetto Estates)","SW 102nd Ct and SW 156th St",0,0,1,0,0,N/A
3368410,"December 2, 2025",California,Pomona,"800 block of E Holt Ave",0,1,0,0,0,N/A
3368374,"December 2, 2025",Louisiana,"New Orleans","14700 block of Chef Menteur Hwy",2,0,0,0,0,N/A
3367716,"December 2, 2025",California,"San Francisco","400 Mansell St",0,1,0,0,1,N/A
3368393,"December 2, 2025",Florida,Jacksonville,"200 block of Kirk Rd",0,1,0,0,0,N/A
3368389,"December 2, 2025",Florida,"Saint Augustine","US Rte 1 and White Castle Rd",0,0,1,0,0,N/A
3368386,"December 2, 2025",Iowa,"Des Moines","1801 Hickman Rd",0,1,0,0,0,N/A
3367811,"December 2, 2025",Georgia,Atlanta,"450 Moreland Ave SE",0,1,0,0,0,N/A
3367806,"December 2, 2025",Oregon,Salem,"2373 Kuebler Blvd",0,0,0,0,1,N/A
3367730,"December 2, 2025",California,Lodi,"I-5 and CA-12",0,0,1,0,0,N/A
3367703,"December 2, 2025",Texas,Houston,"9400 block of E Ave J",0,1,0,1,1,N/A
3368256,"December 2, 2025","North Carolina",Greensboro,"1700 block of Battleground Ave",1,0,0,0,0,N/A
3368285,"December 2, 2025",Arkansas,"Forrest City","711 N Gorman St",0,2,0,0,1,N/A
3368258,"December 2, 2025",Missouri,"Saint Ann","3300 block of Chaucer Ave",1,0,0,0,0,N/A
3368251,"December 2, 2025",California,Lindsay,"24000 block of Ave 236",1,0,0,0,0,N/A
3367835,"December 2, 2025",California,"Los Angeles","W Olympic Blvd and S Alvarado St",0,0,0,1,0,N/A
3367830,"December 2, 2025",California,"Los Angeles","4600 Colorado Blvd",1,0,1,0,0,N/A
3370085,"December 2, 2025",Mississippi,"Leake County (county)",N/A,0,1,0,0,1,N/A
3367536,"December 2, 2025",Nevada,"Las Vegas","400 block of S 15th St",1,0,0,0,0,N/A
3367823,"December 2, 2025",Texas,Weslaco,"1509 W Business 83",0,0,0,1,2,N/A
